"";"country_code";"date";"deaths"
"1";"AD";2020-03-16;0
"2";"AD";2020-03-23;1
"3";"AD";2020-03-30;8
"4";"AD";2020-04-06;21
"5";"AE";2020-03-16;0
"6";"AE";2020-03-23;2
"7";"AE";2020-03-30;5
"8";"AE";2020-04-06;11
"9";"AF";2020-03-16;0
"10";"AF";2020-03-23;1
"11";"AF";2020-03-30;4
"12";"AF";2020-04-06;11
"13";"AG";2020-03-16;0
"14";"AG";2020-03-23;0
"15";"AG";2020-03-30;0
"16";"AG";2020-04-06;0
"17";"AL";2020-03-16;1
"18";"AL";2020-03-23;4
"19";"AL";2020-03-30;11
"20";"AL";2020-04-06;21
"21";"AM";2020-03-16;0
"22";"AM";2020-03-23;0
"23";"AM";2020-03-30;3
"24";"AM";2020-04-06;8
"25";"AO";2020-03-23;0
"26";"AO";2020-03-30;2
"27";"AO";2020-04-06;2
"28";"AR";2020-03-16;2
"29";"AR";2020-03-23;4
"30";"AR";2020-03-30;23
"31";"AR";2020-04-06;48
"32";"AT";2020-03-16;3
"33";"AT";2020-03-23;21
"34";"AT";2020-03-30;108
"35";"AT";2020-04-06;220
"36";"AU";2020-03-16;3
"37";"AU";2020-03-23;7
"38";"AU";2020-03-30;17
"39";"AU";2020-04-06;40
"40";"AW";2020-03-16;0
"41";"AW";2020-03-23;0
"42";"AW";2020-03-30;0
"43";"AW";2020-04-06;0
"44";"AZ";2020-03-16;1
"45";"AZ";2020-03-23;1
"46";"AZ";2020-03-30;4
"47";"AZ";2020-04-06;7
"48";"BA";2020-03-16;0
"49";"BA";2020-03-23;1
"50";"BA";2020-03-30;10
"51";"BA";2020-04-06;29
"52";"BB";2020-03-23;0
"53";"BB";2020-03-30;0
"54";"BB";2020-04-06;2
"55";"BD";2020-03-16;0
"56";"BD";2020-03-23;3
"57";"BD";2020-03-30;5
"58";"BD";2020-04-06;12
"59";"BE";2020-03-16;10
"60";"BE";2020-03-23;88
"61";"BE";2020-03-30;513
"62";"BE";2020-04-06;1632
"63";"BF";2020-03-16;0
"64";"BF";2020-03-23;4
"65";"BF";2020-03-30;12
"66";"BF";2020-04-06;18
"67";"BG";2020-03-16;2
"68";"BG";2020-03-23;3
"69";"BG";2020-03-30;8
"70";"BG";2020-04-06;22
"71";"BH";2020-03-16;1
"72";"BH";2020-03-23;2
"73";"BH";2020-03-30;4
"74";"BH";2020-04-06;4
"75";"BI";2020-04-06;0
"76";"BJ";2020-03-16;0
"77";"BJ";2020-03-23;0
"78";"BJ";2020-03-30;0
"79";"BJ";2020-04-06;1
"80";"BM";2020-04-06;2
"81";"BN";2020-03-16;0
"82";"BN";2020-03-23;0
"83";"BN";2020-03-30;1
"84";"BN";2020-04-06;1
"85";"BO";2020-03-16;0
